Coac;Marasbot;Conrisc;AntiSquid;Baseline1;Baseline2;UJIAgent1;UJIAgent2
96.88;25.00;25.00;37.50;12.50;12.50;25.00;62.50
97.50;47.50;42.50;37.50;12.50;25.00;37.50;62.50
95.83;41.67;41.67;43.75;12.50;25.00;47.92;60.42
96.43;46.43;46.43;48.21;16.07;32.14;50.00;64.29
95.45;45.31;42.19;50.00;15.62;28.12;46.88;59.38
94.79;50.00;44.79;51.04;15.28;27.78;44.44;58.33
95.19;48.08;44.23;51.92;13.75;25.00;50.00;57.69
95.54;48.21;43.75;52.68;20.54;29.46;51.79;58.04
95.14;46.67;40.83;52.08;21.67;29.17;50.00;55.00
94.74;45.39;44.74;53.29;21.88;28.91;50.00;53.91
94.38;43.75;45.62;53.12;21.32;27.94;49.38;56.88
94.64;44.64;46.43;53.57;25.00;27.98;49.40;58.33
95.00;44.32;44.89;52.50;24.43;27.27;48.86;56.25
94.71;44.23;47.12;53.85;23.91;26.09;48.37;56.52
94.91;44.44;46.30;53.70;23.96;26.56;48.15;56.48
94.64;45.54;46.43;54.91;25.45;28.12;47.32;57.59
94.92;43.97;45.26;55.47;25.00;27.59;46.55;56.03
94.70;45.45;44.32;54.55;24.17;28.75;47.50;56.67
94.49;45.22;45.22;54.04;24.19;28.23;47.06;57.35
94.29;45.00;46.07;53.93;25.36;29.64;47.50;58.21
94.23;44.44;44.79;54.17;25.35;29.17;46.18;57.64
94.06;45.94;45.31;54.06;25.68;28.38;45.61;57.77
93.90;45.12;44.82;54.27;25.00;28.29;46.65;58.54
94.05;45.83;45.24;54.46;26.49;28.27;47.02;58.63
94.29;45.64;44.48;53.80;26.45;27.91;46.51;57.56
94.41;46.54;44.41;53.72;26.14;28.12;46.88;57.10
94.01;46.09;44.27;53.39;25.83;27.78;47.14;58.59
94.13;46.43;44.39;53.32;26.28;29.34;47.45;58.67
94.10;46.00;43.50;53.77;26.00;28.75;46.75;58.25
93.98;46.53;44.44;53.47;25.74;28.92;46.57;58.09
94.09;46.36;43.86;53.86;25.48;28.61;47.95;57.27
94.20;46.65;43.75;54.46;26.34;28.79;48.21;57.59
94.58;45.83;43.20;54.37;26.32;28.51;47.37;57.24
94.47;45.70;43.65;54.10;26.51;28.66;47.20;57.76
94.15;45.36;43.55;54.03;26.27;28.39;48.39;57.66
94.25;45.24;43.85;53.77;26.98;29.56;48.41;57.94
94.40;45.12;43.36;53.92;26.56;29.30;47.66;57.42
94.49;46.51;43.38;53.86;26.35;29.04;47.31;57.31
94.20;46.20;43.48;53.80;25.95;28.79;48.01;57.61
94.29;46.25;43.75;54.11;25.89;29.29;48.39;58.04
94.26;45.95;43.49;54.39;25.70;28.87;47.71;57.57
94.00;47.33;43.17;54.17;25.69;28.82;47.40;57.81
93.75;46.88;43.26;54.44;25.86;28.77;47.86;57.40
93.67;46.92;42.86;54.55;26.95;29.87;47.89;57.31
93.83;46.96;42.31;54.32;26.92;29.65;47.44;56.73
93.75;47.26;42.68;54.12;27.06;29.91;46.99;56.80
93.52;47.44;42.92;53.92;27.03;29.69;46.69;57.23
93.60;47.77;43.30;54.32;26.49;30.21;46.73;57.59
93.61;47.65;42.79;54.69;26.18;30.00;46.18;57.21
93.54;48.31;43.12;54.49;26.31;29.80;45.78;57.27
93.47;48.06;43.06;54.86;26.01;29.74;45.42;57.92
93.41;48.08;43.13;54.67;26.51;30.49;45.47;58.24
93.42;47.83;42.93;54.87;26.49;30.30;44.97;57.61
