AntiSquid;Baseline1;Baseline2;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;UJIAgent1;UJIAgent2;UJIAgent3
46.55;33.33;50.00;83.33;50.00;33.33;83.33;100.00;16.67;66.67;16.67
45.45;16.67;25.00;93.55;25.00;16.67;41.67;58.33; 8.33;33.33;16.67
41.67;11.11;16.67;88.89;16.67;11.11;27.78;87.88; 5.56;27.78;11.11
43.59;13.64;11.11;89.74;38.57;16.67;41.67;88.46;12.50;25.00;16.67
46.43;15.38;16.67;90.48;42.86;25.68;46.67;89.29;26.67;23.33;26.67
43.33;13.33;23.33;91.11;43.33;31.11;53.85;87.78;25.00;25.00;27.78
44.79;13.89;19.44;91.67;42.71;33.33;57.29;87.50;35.37;26.19;27.50
44.12;11.90;23.81;91.18;40.20;33.33;57.84;88.24;40.20;38.37;29.55
44.44;10.42;20.83;91.67;39.81;32.41;55.56;87.96;41.67;49.07;36.46
44.74;18.00;25.93;92.11;41.23;35.09;57.89;88.60;41.23;50.00;37.96
45.83;18.42;34.62;92.50;40.00;35.00;58.33;88.33;41.67;50.86;40.35
46.15;18.33;36.67;92.06;38.89;34.92;59.52;88.89;39.68;51.67;41.67
46.77;19.84;35.71;91.88;37.12;33.33;56.82;87.12;38.46;53.17;39.68
45.31;18.94;34.09;91.15;35.51;31.88;54.35;88.41;37.31;50.76;37.88
45.96;18.12;32.61;90.91;35.12;31.94;54.86;89.39;36.23;48.55;36.96
44.61;18.06;33.33;91.18;38.73;33.72;54.73;89.71;35.42;49.31;37.50
44.29;19.33;34.00;91.43;38.10;35.71;52.78;90.00;36.00;49.33;38.67
44.91;19.23;34.62;91.67;37.96;35.65;55.71;90.28;34.95;48.08;38.46
44.14;18.52;35.80;91.44;37.39;35.45;56.02;90.54;37.04;48.95;38.89
44.30;17.86;34.52;91.23;36.40;35.71;56.31;90.35;36.94;52.70;39.18
45.30;18.69;33.91;91.45;36.75;35.96;56.14;90.60;36.84;52.63;42.11
45.83;18.80;33.17;91.67;36.55;37.61;57.26;90.83;38.46;52.56;43.16
44.88;19.17;34.58;91.46;36.36;37.50;57.50;90.65;38.75;53.33;44.17
46.08;20.33;34.55;90.70;35.77;37.40;57.72;89.68;38.62;53.25;43.90
45.19;19.84;33.73;90.71;34.92;36.51;56.75;89.39;37.70;51.98;42.86
44.97;19.38;32.95;90.88;33.82;35.66;55.81;90.76;36.82;50.78;41.86
45.37;20.08;32.95;91.05;36.48;34.78;55.68;90.57;36.36;51.52;42.05
45.76;20.00;32.96;91.16;36.73;38.58;53.93;90.74;35.93;50.74;42.22
46.43;19.57;32.25;91.27;36.67;38.48;56.36;90.91;34.51;50.36;41.67
46.49;19.50;32.27;91.37;37.20;38.69;57.14;91.07;35.71;50.35;41.13
46.82;19.10;31.94;90.94;36.84;38.89;57.02;90.94;36.26;51.46;40.75
46.57;19.26;32.31;91.09;36.78;39.08;57.47;91.09;35.92;51.72;41.38
46.89;19.49;32.33;91.24;37.85;39.83;58.19;91.24;36.44;52.26;41.53
47.22;19.72;34.17;91.39;37.50;39.17;58.33;91.39;36.67;52.50;41.94
48.56;20.22;33.98;90.98;37.16;38.80;58.74;91.26;36.89;51.91;41.53
48.36;19.89;33.61;91.90;36.56;38.17;57.80;90.05;36.29;51.08;40.86
47.69;19.68;33.06;90.97;35.98;37.57;56.88;91.04;35.71;50.26;40.21
47.95;19.74;32.54;91.10;35.75;37.50;57.03;91.32;35.16;50.78;40.89
47.52;20.05;32.81;90.99;36.26;38.19;57.18;91.44;35.38;50.26;41.28
47.11;20.00;32.56;91.11;36.00;39.11;57.34;91.56;35.35;49.75;41.12
47.37;20.20;32.32;91.23;36.18;38.82;57.89;91.67;36.14;49.50;40.70
47.40;20.40;32.09;91.34;35.93;38.96;57.79;91.56;37.23;49.32;40.55
47.22;20.10;32.11;91.24;36.32;39.32;57.91;91.67;36.75;50.64;40.31
47.47;20.52;32.37;91.14;36.71;39.66;58.23;91.56;37.34;50.85;40.81
