AntiSquid;Baseline1;Baseline2;Chad;Coac;Conrisc;Fabbiamo;Marasbot;ProphetCoac;ReinforcedGreediness;UJIAgent1;UJIAgent2;UJIAgent3
 45.83; 16.67; 45.83; 75.00; 91.67; 25.00; 33.33; 50.00; 79.17; 58.33; 33.33; 37.50; 58.33
 47.92; 12.50; 35.42; 79.17; 75.00; 29.17; 39.58; 50.00; 72.92; 60.42; 43.75; 47.92; 56.25
 50.00; 15.28; 29.17; 76.39; 77.78; 29.17; 40.28; 52.78; 73.61; 61.11; 44.44; 54.17; 45.83
 47.92; 18.75; 25.00; 75.00; 77.08; 33.33; 43.75; 52.08; 69.79; 62.50; 43.75; 52.08; 48.96
 47.50; 20.83; 25.00; 75.00; 77.50; 37.50; 46.67; 53.33; 69.17; 62.50; 43.33; 48.33; 43.33
 45.14; 19.44; 25.00; 76.39; 79.17; 37.50; 47.92; 56.25; 70.83; 61.81; 43.75; 46.53; 40.28
 45.24; 19.05; 27.38; 76.79; 79.17; 35.71; 48.21; 55.95; 70.24; 63.10; 43.45; 46.43; 39.29
 46.35; 18.23; 30.21; 77.08; 78.65; 32.81; 46.88; 55.73; 70.31; 61.98; 42.71; 48.96; 40.10
 46.76; 18.98; 31.94; 75.46; 77.31; 32.41; 46.30; 56.94; 67.59; 65.28; 41.67; 50.00; 39.35
 48.33; 20.83; 31.25; 74.17; 78.75; 30.00; 44.17; 57.50; 67.50; 64.58; 42.08; 52.08; 38.75
 48.48; 20.83; 30.68; 75.76; 77.65; 31.44; 43.94; 57.95; 65.53; 64.02; 41.67; 51.52; 40.53
 47.57; 22.57; 29.51; 77.08; 77.78; 32.64; 42.71; 57.29; 64.58; 64.24; 42.36; 52.43; 39.24
 46.79; 22.12; 28.85; 76.92; 78.53; 34.62; 43.27; 57.37; 63.78; 64.74; 42.63; 51.60; 38.78
 46.73; 21.13; 28.57; 76.79; 78.87; 35.12; 44.05; 56.85; 65.18; 64.58; 41.96; 51.49; 38.69
 48.06; 21.39; 29.17; 76.39; 78.61; 35.28; 44.17; 55.56; 65.28; 64.17; 41.67; 51.39; 38.89
 48.18; 22.40; 28.65; 77.08; 78.12; 34.38; 44.01; 54.95; 63.28; 64.32; 41.93; 52.34; 40.36
 47.30; 21.81; 28.43; 76.47; 79.17; 33.58; 44.12; 55.39; 64.95; 63.97; 41.91; 52.70; 40.20
 45.83; 21.99; 28.70; 76.39; 79.40; 34.49; 44.21; 55.09; 64.12; 64.35; 41.67; 52.78; 40.97
 46.71; 23.25; 28.29; 76.54; 78.73; 36.18; 44.08; 55.04; 62.94; 64.47; 40.57; 52.63; 40.57
 46.46; 22.50; 28.12; 76.46; 79.38; 36.04; 44.17; 55.21; 63.75; 64.58; 40.83; 52.29; 40.21
 46.03; 22.42; 28.17; 76.39; 79.56; 35.91; 44.64; 54.76; 63.49; 64.68; 41.47; 52.78; 39.68
 46.40; 21.59; 28.98; 76.52; 79.73; 35.61; 44.89; 54.36; 63.26; 64.39; 40.91; 52.65; 40.72
 46.92; 20.83; 29.17; 76.81; 78.80; 36.05; 44.75; 54.71; 62.32; 65.22; 41.49; 52.54; 40.40
 46.70; 21.01; 28.99; 76.74; 79.34; 35.76; 45.14; 54.34; 62.67; 64.41; 42.01; 52.43; 40.45
 46.67; 20.83; 28.83; 76.83; 79.17; 36.00; 44.50; 54.17; 62.67; 64.50; 41.83; 52.67; 41.33
 46.15; 20.67; 28.53; 77.08; 78.37; 36.70; 44.39; 54.81; 62.50; 64.74; 41.19; 53.37; 41.51
 46.14; 20.52; 28.70; 77.47; 78.86; 36.42; 43.98; 54.32; 62.96; 64.66; 41.51; 53.55; 40.90
 45.83; 20.09; 28.72; 77.98; 78.87; 36.46; 44.64; 54.17; 62.95; 64.88; 41.52; 53.42; 40.48
