Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness
 10.00; 10.00; 90.00; 80.00; 40.00; 70.00
 10.00; 10.00; 95.00; 65.00; 45.00; 75.00
 13.33; 10.00; 83.33; 73.33; 50.00; 70.00
 12.50; 12.50; 82.50; 72.50; 52.50; 67.50
 14.00; 14.00; 84.00; 68.00; 52.00; 68.00
 13.33; 13.33; 85.00; 66.67; 53.33; 68.33
 14.29; 12.86; 81.43; 70.00; 54.29; 67.14
 12.50; 13.75; 81.25; 70.00; 55.00; 67.50
 13.33; 14.44; 82.22; 70.00; 53.33; 66.67
 15.00; 14.00; 82.00; 70.00; 52.00; 67.00
 14.55; 13.64; 83.64; 70.91; 51.82; 65.45
 14.17; 13.33; 82.50; 71.67; 52.50; 65.83
 14.62; 13.85; 83.08; 70.77; 51.54; 66.15
 15.00; 13.57; 82.86; 71.43; 50.71; 66.43
 14.67; 14.00; 84.00; 72.00; 50.00; 65.33
 14.37; 13.75; 83.12; 73.75; 50.62; 64.38
 14.71; 12.94; 83.53; 74.12; 50.59; 64.12
 13.89; 13.89; 82.22; 74.44; 51.67; 63.89
 13.16; 14.74; 81.05; 75.79; 52.63; 62.63
 13.00; 14.50; 81.50; 76.00; 53.00; 62.00
 13.81; 13.81; 82.38; 74.76; 52.86; 62.38
 13.64; 13.64; 82.73; 74.55; 52.73; 62.73
 13.04; 13.91; 82.61; 74.78; 53.04; 62.61
 13.33; 14.17; 82.92; 73.75; 53.33; 62.50
 13.60; 13.60; 83.20; 73.20; 53.20; 63.20
 13.85; 13.08; 83.08; 73.85; 53.08; 63.08
 14.07; 12.96; 82.96; 74.07; 53.33; 62.59
 13.57; 13.93; 83.21; 74.29; 53.21; 61.79
 14.14; 13.45; 83.10; 74.83; 52.76; 61.72
 14.67; 13.33; 83.00; 74.00; 53.00; 62.00
 14.84; 13.23; 82.58; 74.52; 53.23; 61.61
 14.37; 13.44; 82.19; 75.00; 53.75; 61.25
 14.24; 13.64; 82.42; 75.15; 53.03; 61.52
 14.12; 13.82; 82.06; 75.00; 53.24; 61.76
 14.29; 13.43; 81.43; 75.14; 53.43; 62.29
 14.17; 13.33; 81.67; 75.00; 53.61; 62.22
 14.32; 12.97; 81.62; 74.86; 53.78; 62.43
 14.74; 12.63; 81.84; 74.74; 53.68; 62.37
 14.36; 12.82; 81.54; 74.87; 53.85; 62.56
 14.50; 12.75; 81.50; 75.00; 54.00; 62.25
 14.15; 12.93; 80.98; 75.61; 54.39; 61.95
 13.81; 13.10; 80.95; 75.71; 54.76; 61.67
 13.95; 12.79; 80.93; 75.81; 54.88; 61.63
 13.86; 12.95; 81.14; 75.68; 54.55; 61.82
 13.78; 12.89; 81.11; 75.78; 54.89; 61.56
 13.48; 13.48; 80.87; 76.09; 54.78; 61.30
 13.40; 13.40; 80.85; 76.17; 55.32; 60.85
 13.33; 13.33; 81.25; 75.83; 55.21; 61.04
 13.06; 13.47; 81.02; 75.92; 55.71; 60.82
 12.80; 13.60; 81.40; 76.00; 55.60; 60.60
 12.55; 13.73; 81.76; 75.69; 55.88; 60.39
 12.31; 13.85; 81.92; 75.58; 55.77; 60.58
 12.26; 13.77; 81.89; 75.66; 55.85; 60.57
 12.04; 13.89; 81.85; 75.56; 56.11; 60.56
 12.18; 13.82; 82.18; 75.45; 56.00; 60.36
 12.14; 13.93; 82.32; 75.36; 55.71; 60.54
 11.93; 14.04; 82.11; 75.44; 56.32; 60.18
 11.72; 14.14; 82.24; 75.34; 56.38; 60.17
 11.86; 14.07; 82.03; 75.76; 56.10; 60.17
 11.83; 14.00; 82.33; 75.67; 56.00; 60.17
 11.97; 13.77; 82.13; 75.74; 56.56; 59.84
 11.94; 14.03; 81.94; 76.13; 56.45; 59.52
 12.06; 13.81; 81.90; 75.87; 56.67; 59.68
 11.88; 13.91; 81.88; 75.78; 56.72; 59.84
 12.00; 13.85; 81.85; 75.85; 56.62; 59.85
 11.97; 13.79; 81.67; 75.91; 56.67; 60.00
 11.79; 13.88; 81.79; 75.82; 56.72; 60.00
 11.76; 13.97; 81.76; 75.59; 56.76; 60.15
 11.74; 13.91; 81.74; 75.94; 56.67; 60.00
 11.57; 14.00; 81.86; 76.14; 56.43; 60.00
 11.55; 14.08; 81.83; 75.92; 56.76; 59.86
 11.67; 14.31; 81.81; 75.69; 56.53; 60.00
 11.51; 14.38; 81.78; 75.75; 56.71; 59.86
 11.35; 14.46; 81.76; 75.41; 57.03; 60.00
 11.47; 14.53; 81.73; 75.20; 56.93; 60.13
 11.58; 14.34; 81.97; 75.00; 56.84; 60.26
 11.43; 14.42; 81.95; 74.94; 57.01; 60.26
 11.28; 14.49; 81.67; 75.13; 57.31; 60.13
 11.27; 14.43; 81.65; 75.19; 57.22; 60.25
 11.38; 14.25; 81.75; 74.88; 57.25; 60.50
 11.48; 14.32; 81.73; 75.06; 57.04; 60.37
 11.59; 14.27; 81.59; 75.24; 57.20; 60.12
 11.57; 14.46; 81.57; 75.06; 57.23; 60.12
 11.55; 14.52; 81.43; 74.76; 57.50; 60.24
 11.53; 14.94; 81.29; 74.71; 57.76; 59.76
 11.40; 15.00; 81.16; 75.00; 57.79; 59.65
 11.26; 15.06; 81.03; 75.17; 57.93; 59.54
 11.36; 14.89; 80.80; 75.11; 58.07; 59.77
 11.35; 14.94; 80.90; 74.94; 57.98; 59.89
 11.33; 15.00; 80.89; 74.89; 58.22; 59.67
 11.54; 15.05; 80.66; 74.84; 58.35; 59.56
 11.52; 15.11; 80.54; 74.78; 58.48; 59.57
 11.51; 15.16; 80.54; 74.52; 58.60; 59.68
 11.38; 15.21; 80.43; 74.57; 58.62; 59.79
 11.26; 15.37; 80.32; 74.53; 58.53; 60.00
 11.46; 15.31; 80.31; 74.38; 58.54; 60.00
 11.34; 15.36; 80.52; 74.33; 58.56; 59.90
 11.33; 15.31; 80.31; 74.39; 58.67; 60.00
 11.41; 15.25; 80.20; 74.14; 58.89; 60.10
 11.60; 15.30; 79.90; 74.30; 58.90; 60.00
 11.49; 15.45; 80.00; 74.06; 59.01; 60.00
 11.57; 15.39; 80.10; 73.92; 59.12; 59.90
 11.55; 15.34; 80.00; 73.88; 59.22; 60.00
 11.54; 15.29; 79.90; 73.75; 59.33; 60.19
 11.43; 15.62; 80.00; 73.81; 59.05; 60.10
 11.32; 15.66; 79.72; 73.96; 59.25; 60.09
 11.31; 15.70; 79.81; 73.83; 59.16; 60.19
 11.30; 15.74; 79.63; 73.80; 59.26; 60.28
 11.19; 15.87; 79.72; 73.67; 59.27; 60.28
 11.18; 15.82; 79.55; 73.73; 59.55; 60.18
 11.17; 15.86; 79.37; 73.69; 59.73; 60.18
 11.34; 15.80; 79.20; 73.66; 59.73; 60.27
 11.33; 15.75; 79.38; 73.54; 59.73; 60.27
 11.40; 15.70; 79.30; 73.68; 59.91; 60.00
 11.39; 15.65; 79.39; 73.65; 59.91; 60.00
 11.38; 15.69; 79.40; 73.53; 59.91; 60.09
 11.28; 15.81; 79.49; 73.42; 59.83; 60.17
 11.19; 15.85; 79.49; 73.47; 59.83; 60.17
 11.09; 15.88; 79.50; 73.53; 59.92; 60.08
 11.17; 15.92; 79.50; 73.58; 59.83; 60.00
 11.32; 15.95; 79.50; 73.39; 59.75; 60.08
 11.39; 15.90; 79.34; 73.44; 59.84; 60.08
 11.38; 15.93; 79.35; 73.33; 59.76; 60.24
 11.29; 15.97; 79.44; 73.15; 59.84; 60.32
 11.28; 15.92; 79.52; 72.96; 59.84; 60.48
 11.43; 15.87; 79.44; 73.10; 59.68; 60.48
 11.34; 15.91; 79.45; 73.23; 59.76; 60.31
 11.25; 15.94; 79.45; 73.12; 59.84; 60.39
 11.16; 15.97; 79.53; 73.10; 59.77; 60.47
 11.15; 15.92; 79.46; 73.23; 59.77; 60.46
 11.15; 15.88; 79.54; 73.21; 59.77; 60.46
 11.21; 15.83; 79.47; 73.18; 59.85; 60.45
 11.13; 15.86; 79.55; 73.08; 59.85; 60.53
 11.19; 15.75; 79.55; 73.21; 59.93; 60.37
 11.11; 15.78; 79.63; 73.26; 59.78; 60.44
 11.03; 15.81; 79.63; 73.31; 59.78; 60.44
 11.09; 15.84; 79.64; 73.36; 59.56; 60.51
 11.30; 15.72; 79.64; 73.33; 59.57; 60.43
 11.22; 15.76; 79.71; 73.31; 59.42; 60.58
 11.14; 15.86; 79.79; 73.21; 59.29; 60.71
 11.21; 15.82; 79.79; 73.12; 59.22; 60.85
 11.20; 15.85; 79.72; 73.24; 59.15; 60.85
 11.19; 15.80; 79.79; 73.22; 59.16; 60.84
 11.11; 15.83; 79.79; 73.26; 59.10; 60.90
 11.31; 15.72; 79.72; 73.10; 59.17; 60.97
 11.37; 15.75; 79.66; 73.22; 59.11; 60.89
 11.36; 15.78; 79.59; 73.33; 59.05; 60.88
 11.35; 15.88; 79.53; 73.38; 58.85; 61.01
 11.34; 15.91; 79.53; 73.29; 58.79; 61.14
 11.40; 15.93; 79.47; 73.40; 58.73; 61.07
 11.32; 15.96; 79.54; 73.38; 58.81; 60.99
 11.25; 16.05; 79.54; 73.36; 58.75; 61.05
 11.24; 16.08; 79.67; 73.33; 58.56; 61.11
