AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
 15.79; 33.33; 22.22; 16.67; 66.67; 83.33; 83.33; 83.33; 50.00; 60.00; 33.33
 10.53; 25.00; 30.56; 13.89; 77.78; 77.78; 72.22; 88.89; 55.56; 60.00; 38.89
 10.53; 22.22; 25.93; 20.37; 74.07; 77.78; 74.07; 88.89; 57.41; 60.00; 40.74
 11.84; 22.22; 31.94; 19.44; 76.39; 77.78; 76.39; 79.17; 55.56; 62.50; 38.89
 12.77; 21.98; 28.89; 22.22; 73.33; 80.00; 76.67; 78.31; 54.32; 68.42; 40.74
 12.50; 22.73; 28.70; 22.22; 72.22; 81.48; 77.78; 80.85; 53.33; 62.16; 44.44
 14.62; 20.93; 28.57; 21.43; 73.02; 83.33; 76.98; 80.00; 53.54; 62.64; 44.44
 15.54; 22.30; 27.78; 20.83; 73.61; 83.33; 78.47; 77.59; 54.63; 60.19; 45.37
 15.06; 24.10; 26.38; 21.60; 73.46; 83.97; 78.43; 77.27; 51.59; 62.70; 47.62
 15.22; 24.46; 27.47; 21.11; 73.89; 83.93; 79.63; 78.38; 54.17; 58.33; 47.22
 14.85; 22.77; 26.87; 22.22; 74.24; 83.89; 80.12; 78.66; 53.70; 60.49; 48.15
 15.45; 23.64; 28.18; 21.76; 74.07; 83.33; 81.11; 76.67; 52.22; 60.56; 50.00
 15.97; 24.37; 26.89; 22.81; 73.33; 83.09; 80.81; 76.77; 50.51; 61.62; 50.00
 16.80; 23.44; 27.73; 22.50; 73.50; 83.33; 81.02; 76.85; 49.07; 60.19; 50.93
 16.79; 22.99; 27.74; 23.02; 73.25; 82.70; 80.77; 77.35; 49.57; 60.68; 50.00
 17.12; 23.29; 27.74; 22.73; 72.22; 82.14; 80.16; 76.98; 50.00; 61.11; 50.79
 16.77; 23.68; 27.24; 22.14; 71.96; 81.85; 80.00; 76.67; 48.15; 62.96; 50.37
 16.77; 23.73; 26.77; 21.96; 73.45; 80.56; 79.86; 76.74; 47.22; 62.15; 50.35
 17.05; 23.78; 26.02; 22.44; 73.46; 79.74; 79.41; 76.47; 47.71; 62.09; 49.35
 16.76; 24.41; 26.22; 21.95; 73.17; 79.32; 78.70; 76.54; 47.53; 61.73; 49.38
 16.62; 23.66; 26.01; 21.68; 72.83; 79.88; 79.24; 75.73; 46.78; 62.57; 49.26
 16.75; 23.78; 26.37; 21.43; 73.35; 79.01; 78.06; 76.94; 46.67; 60.83; 49.72
 16.37; 23.64; 26.18; 21.47; 73.04; 78.22; 77.51; 77.51; 47.09; 61.38; 49.32
 16.25; 23.50; 26.25; 21.00; 73.50; 78.50; 76.77; 77.53; 46.72; 61.11; 49.48
 16.27; 23.92; 25.84; 21.53; 73.21; 78.47; 77.11; 77.54; 46.60; 60.74; 49.49
 16.06; 24.08; 25.92; 21.56; 73.85; 78.44; 76.50; 77.78; 46.73; 60.39; 49.51
 15.86; 24.01; 25.77; 21.15; 73.57; 79.07; 75.94; 78.00; 47.75; 60.52; 49.29
 16.10; 24.36; 26.48; 20.76; 73.09; 78.81; 75.21; 78.21; 48.04; 60.42; 49.54
 15.92; 24.49; 26.33; 21.22; 72.86; 79.39; 75.36; 78.45; 47.77; 60.22; 49.56
 16.34; 24.80; 26.77; 21.26; 73.43; 79.53; 74.70; 78.69; 47.30; 59.83; 49.36
 15.78; 25.29; 26.43; 21.67; 73.38; 79.47; 75.24; 78.51; 47.87; 59.67; 49.18
 16.36; 25.18; 27.02; 20.96; 73.35; 79.04; 75.19; 78.74; 47.42; 59.72; 50.00
 16.73; 25.44; 26.51; 20.82; 73.57; 79.02; 75.37; 78.71; 47.23; 59.77; 50.57
 16.90; 25.69; 26.38; 20.69; 73.96; 78.83; 75.72; 79.04; 46.68; 59.44; 51.11
 16.56; 25.42; 26.42; 21.24; 74.16; 79.16; 75.88; 78.83; 47.24; 59.32; 50.90
 16.56; 25.16; 26.62; 21.75; 74.18; 79.14; 76.03; 78.97; 47.41; 59.03; 50.87
 16.40; 24.76; 26.70; 21.60; 74.47; 79.10; 76.09; 78.76; 47.16; 59.50; 50.84
 16.10; 24.69; 26.62; 21.92; 74.76; 78.90; 76.62; 78.73; 46.59; 59.45; 50.65
 16.12; 24.78; 26.09; 22.24; 74.26; 79.02; 76.34; 78.86; 46.69; 59.87; 50.48
 16.28; 25.00; 25.73; 22.09; 74.08; 78.99; 76.84; 78.99; 46.17; 60.12; 50.15
 16.43; 25.11; 25.36; 22.09; 74.03; 78.81; 76.87; 78.81; 45.67; 60.45; 50.07
 16.44; 25.07; 25.28; 21.95; 73.84; 78.63; 77.18; 78.92; 45.49; 60.03; 50.15
 16.44; 25.03; 25.21; 21.81; 73.80; 78.90; 77.34; 78.90; 45.61; 59.63; 49.65
 16.45; 25.00; 25.28; 21.82; 73.76; 79.01; 76.93; 78.18; 45.86; 59.81; 49.59
 16.49; 24.66; 24.93; 21.97; 73.32; 78.84; 76.82; 78.57; 45.96; 60.24; 49.46
 16.28; 24.61; 25.13; 22.50; 73.03; 78.95; 77.24; 78.68; 45.53; 59.61; 49.33
 16.20; 24.55; 24.81; 22.49; 72.49; 79.05; 77.25; 78.53; 45.63; 60.28; 49.20
 16.25; 24.50; 24.50; 22.49; 72.61; 79.15; 77.01; 78.27; 45.48; 60.55; 49.35
 16.50; 24.54; 24.32; 22.48; 72.85; 78.99; 76.90; 78.26; 45.35; 60.62; 49.42
 16.75; 24.82; 24.52; 22.24; 73.32; 78.85; 76.80; 78.37; 45.11; 60.20; 49.37
 16.74; 24.97; 24.82; 22.12; 73.29; 78.94; 76.94; 78.47; 44.99; 60.02; 49.08
 16.63; 25.00; 24.65; 22.35; 73.27; 79.03; 77.07; 78.34; 44.88; 59.86; 49.40
 16.74; 24.72; 24.69; 22.91; 73.59; 79.01; 77.27; 78.34; 44.74; 59.53; 49.41
 17.29; 24.45; 25.06; 22.90; 73.78; 78.98; 77.24; 78.33; 44.15; 59.45; 49.77
 17.39; 24.51; 24.97; 22.56; 73.86; 79.18; 77.32; 78.44; 44.14; 59.48; 50.00
 17.58; 24.36; 24.79; 22.98; 74.15; 79.15; 77.29; 78.32; 44.03; 59.29; 50.33
 17.78; 24.43; 24.84; 23.04; 74.50; 79.14; 77.34; 78.52; 43.71; 59.00; 50.43
 18.37; 24.18; 25.20; 22.80; 74.53; 79.02; 77.59; 78.72; 43.19; 58.94; 50.64
 18.14; 24.35; 25.15; 22.97; 74.57; 79.01; 77.63; 79.02; 43.01; 58.98; 50.84
 18.01; 24.11; 25.39; 22.93; 74.50; 78.89; 77.66; 79.20; 43.03; 59.22; 51.13
 17.79; 24.08; 25.49; 22.93; 74.58; 78.77; 77.67; 79.28; 42.96; 59.05; 51.11
 18.16; 24.05; 25.67; 23.02; 74.76; 78.46; 77.37; 79.25; 42.89; 58.70; 50.99
 18.04; 24.02; 25.95; 22.91; 74.54; 78.54; 77.28; 79.22; 42.62; 58.83; 50.97
 18.11; 23.99; 26.13; 22.91; 74.52; 78.15; 77.29; 79.29; 42.65; 58.59; 50.95
 17.98; 23.97; 26.04; 22.99; 74.58; 77.98; 77.30; 79.36; 42.40; 58.54; 50.94
 18.40; 23.96; 26.05; 22.98; 74.91; 77.53; 77.12; 79.52; 42.16; 57.93; 51.01
 18.54; 23.86; 25.88; 22.88; 74.59; 77.83; 77.13; 79.67; 41.83; 57.99; 50.91
 18.60; 23.75; 25.80; 22.95; 74.73; 77.40; 77.05; 79.64; 41.79; 57.86; 51.07
 18.63; 23.91; 25.83; 22.94; 74.87; 77.15; 77.00; 79.70; 41.92; 57.48; 51.11
 18.84; 23.97; 25.95; 22.84; 74.91; 77.16; 77.03; 79.67; 41.78; 57.20; 51.05
 18.78; 24.02; 25.72; 22.84; 74.79; 77.16; 77.15; 79.90; 41.74; 57.11; 51.09
