AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;ByteRL;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
  9.09; 18.18; 18.18; 22.73; 90.91; 68.18; 81.82; 77.27; 77.27; 36.36; 59.09; 40.91
 18.18; 15.91; 13.64; 22.73; 93.18; 68.18; 77.27; 72.73; 72.73; 36.36; 61.36; 47.73
 16.67; 16.67; 15.15; 19.70; 92.42; 63.64; 77.27; 77.27; 72.73; 39.39; 62.12; 46.97
 20.45; 13.64; 13.64; 19.32; 92.05; 60.23; 77.27; 76.14; 73.86; 43.18; 62.50; 47.73
 18.18; 16.36; 14.55; 18.18; 90.00; 63.64; 75.45; 78.18; 75.45; 41.82; 60.00; 48.18
 17.42; 16.67; 13.64; 18.18; 91.67; 64.39; 75.76; 75.00; 73.48; 42.42; 63.64; 47.73
 16.23; 16.23; 16.88; 18.83; 91.56; 64.29; 75.97; 75.97; 74.03; 40.91; 63.64; 45.45
 17.05; 15.91; 17.05; 20.45; 92.05; 66.48; 75.57; 74.43; 73.30; 38.07; 63.07; 46.59
 17.17; 16.67; 17.68; 19.70; 92.42; 65.66; 75.76; 75.25; 73.74; 39.39; 61.11; 45.45
 17.73; 16.82; 16.82; 20.91; 92.27; 65.45; 75.00; 74.09; 73.18; 39.55; 60.91; 47.27
 17.36; 16.53; 17.36; 21.07; 91.74; 64.05; 74.38; 75.62; 73.97; 39.67; 61.16; 47.11
 18.18; 16.67; 18.18; 20.83; 92.42; 65.15; 73.86; 74.62; 72.73; 39.39; 61.36; 46.59
 17.48; 17.48; 18.53; 20.98; 92.31; 64.69; 74.83; 74.48; 72.38; 38.81; 61.19; 46.85
 18.18; 16.88; 18.83; 21.43; 92.86; 64.94; 73.38; 74.68; 71.75; 38.31; 61.04; 47.73
 17.58; 16.67; 19.39; 21.82; 93.03; 64.85; 72.42; 74.55; 73.33; 38.18; 59.70; 48.48
 18.47; 16.48; 18.75; 22.73; 93.18; 64.77; 71.31; 73.86; 73.30; 38.35; 60.51; 48.30
 18.45; 16.84; 18.72; 22.99; 93.05; 64.17; 71.66; 73.80; 73.53; 39.57; 60.16; 47.06
 17.93; 16.41; 18.43; 23.23; 93.43; 64.39; 71.72; 73.23; 72.98; 40.40; 59.85; 47.98
 17.70; 16.27; 18.18; 23.92; 93.54; 64.11; 71.53; 73.21; 72.73; 40.19; 60.53; 48.09
 17.50; 16.59; 18.41; 24.09; 93.86; 64.55; 71.36; 72.50; 72.27; 40.00; 60.23; 48.64
 17.10; 16.88; 18.61; 23.81; 93.94; 64.29; 71.43; 72.73; 72.29; 39.83; 60.17; 48.92
 17.56; 17.36; 18.39; 23.55; 94.21; 64.26; 71.90; 72.11; 72.11; 39.05; 59.92; 49.59
 17.79; 17.19; 18.18; 23.52; 94.07; 64.43; 71.15; 72.13; 72.53; 39.33; 60.08; 49.60
 17.99; 17.23; 18.56; 23.11; 94.13; 64.02; 71.40; 71.59; 72.92; 38.45; 60.80; 49.81
 17.64; 17.27; 18.36; 23.09; 94.18; 63.82; 71.09; 71.82; 73.27; 38.55; 61.09; 49.82
 17.66; 17.48; 18.36; 22.38; 93.88; 64.16; 71.50; 71.68; 73.78; 38.64; 60.84; 49.65
 17.51; 17.68; 18.35; 22.22; 94.11; 63.97; 71.38; 71.72; 74.07; 38.89; 60.44; 49.66
 17.53; 17.86; 18.51; 22.08; 93.99; 63.96; 71.59; 71.92; 74.03; 39.12; 59.90; 49.51
 17.40; 17.71; 18.34; 21.94; 93.73; 64.26; 71.47; 72.41; 73.98; 39.18; 60.19; 49.37
 17.42; 18.18; 18.79; 21.67; 93.79; 63.94; 71.67; 72.58; 73.79; 38.64; 60.45; 49.09
 17.30; 18.48; 18.62; 21.70; 93.70; 63.34; 71.41; 72.87; 74.19; 38.71; 60.41; 49.27
 18.04; 18.32; 18.75; 21.73; 93.75; 63.64; 71.59; 72.73; 74.15; 38.21; 59.80; 49.29
 17.77; 18.32; 18.87; 22.04; 93.66; 63.22; 71.63; 72.73; 74.52; 38.98; 59.23; 49.04
