Baseline1;Baseline2;Chad;Coac;OneLaneIsEnough;ReinforcedGreediness;referee-rust
 50.00; 50.00;100.00;100.00; 50.00;100.00; 25.00
 75.00; 50.00; 75.00;100.00; 75.00;100.00; 21.74
 50.00; 66.67; 83.33; 66.67; 80.00;100.00; 26.47
 50.00; 75.00; 87.50; 57.14; 85.71;100.00; 24.44
 40.00; 60.00; 88.89; 55.56; 88.89;100.00; 28.57
 41.67; 54.55; 90.91; 54.55; 90.91;100.00; 28.36
 38.46; 61.54; 92.31; 53.85; 92.31;100.00; 26.92
 33.33; 60.00; 93.33; 53.33; 93.33;100.00; 28.09
 29.41; 58.82; 88.24; 58.82; 93.75;100.00; 29.00
 31.58; 57.89; 89.47; 55.56; 88.89;100.00; 29.73
 28.57; 57.14; 90.00; 60.00; 85.00; 95.00; 31.15
 30.43; 54.55; 90.91; 63.64; 86.36; 95.45; 30.08
 33.33; 54.17; 83.33; 66.67; 87.50; 91.67; 30.56
 30.77; 53.85; 80.77; 69.23; 88.46; 92.31; 30.77
 32.14; 50.00; 82.14; 71.43; 89.29; 92.59; 30.54
 33.33; 50.00; 80.00; 73.33; 89.66; 89.66; 30.90
 31.25; 50.00; 78.12; 74.19; 87.10; 90.32; 31.75
 29.41; 52.94; 78.79; 75.76; 87.88; 90.91; 31.00
 30.56; 54.29; 80.00; 77.14; 88.57; 91.43; 29.86
 29.73; 56.76; 75.68; 78.38; 89.19; 89.19; 30.18
 30.77; 56.41; 76.92; 79.49; 89.74; 86.84; 30.04
 29.27; 56.10; 78.05; 80.49; 90.00; 87.50; 29.92
 27.91; 55.81; 79.07; 78.57; 85.71; 88.10; 30.98
 26.67; 53.33; 79.55; 79.55; 86.36; 84.09; 31.95
 25.53; 52.17; 78.26; 80.43; 84.78; 82.61; 32.85
 25.00; 50.00; 79.17; 81.25; 81.25; 83.33; 33.33
 26.00; 48.00; 80.00; 82.00; 80.00; 84.00; 33.33
 25.00; 46.15; 78.85; 80.77; 80.77; 84.31; 34.08
 25.93; 46.30; 79.63; 79.63; 79.25; 83.02; 34.47
 25.00; 44.64; 78.57; 78.18; 78.18; 81.82; 35.74
 25.86; 43.10; 78.95; 78.95; 77.19; 80.70; 36.05
 25.00; 42.37; 79.66; 79.66; 76.27; 77.97; 36.62
 24.59; 40.98; 78.69; 80.33; 75.41; 78.69; 36.89
 23.81; 41.27; 79.37; 80.95; 76.19; 79.03; 36.60
 23.08; 40.00; 80.00; 81.54; 75.00; 78.12; 37.11
 22.39; 38.81; 79.10; 81.82; 74.24; 78.79; 37.59
 21.74; 39.13; 79.41; 82.35; 73.53; 79.41; 37.56
 21.13; 40.00; 78.57; 82.86; 74.29; 80.00; 37.29
 20.83; 40.28; 77.78; 83.33; 73.61; 80.56; 37.27
 20.27; 40.54; 75.68; 83.78; 71.62; 81.08; 37.84
 19.74; 40.79; 76.32; 84.21; 71.05; 81.33; 37.80
 19.23; 39.74; 75.64; 84.62; 70.13; 79.22; 38.63
 18.75; 40.00; 76.25; 84.81; 68.35; 79.75; 38.78
 18.29; 39.02; 76.54; 83.95; 67.90; 77.78; 39.55
 17.86; 39.76; 77.11; 84.34; 67.47; 77.11; 39.48
 18.82; 40.00; 76.47; 83.53; 65.88; 77.65; 39.61
