Baseline1;Baseline2;BinaryTree-baseline;BinaryTree-frombest;BinaryTree-standard;Chad;Coac;Linear-baseline;Linear-from-Linear-standard;Linear-frombest;Linear-standard;OneLaneIsEnough;ReinforcedGreediness;Tree-baseline;Tree-from-Linear-standard;Tree-frombest;Tree-standard
 44.19; 43.02; 40.94; 53.59; 47.69; 84.88; 96.51; 39.92; 42.05; 42.61; 51.30; 75.58; 90.70; 36.52; 47.73; 37.39; 38.74
 37.79; 44.19; 36.25; 52.95; 50.13; 84.88; 94.77; 41.77; 47.44; 42.17; 56.09; 61.63; 87.21; 33.91; 52.84; 40.00; 39.64
 29.84; 39.53; 38.85; 53.50; 48.89; 84.50; 91.47; 44.72; 48.48; 43.19; 54.49; 68.99; 80.62; 35.07; 51.33; 39.42; 40.84
 30.52; 40.12; 42.27; 50.19; 45.51; 85.47; 92.15; 50.62; 49.01; 41.52; 53.91; 69.77; 81.98; 36.74; 50.99; 37.39; 40.09
 30.25; 40.33; 42.27; 50.27; 45.97; 85.83; 92.10; 47.68; 50.11; 45.04; 57.51; 68.66; 82.83; 34.44; 51.91; 45.33; 43.73
 31.03; 42.05; 40.78; 49.66; 45.81; 84.10; 92.05; 47.10; 50.47; 48.86; 58.37; 64.62; 82.56; 36.42; 52.99; 46.75; 45.07
 30.51; 41.65; 39.97; 49.08; 45.93; 84.50; 92.01; 46.92; 51.83; 48.70; 58.33; 64.89; 83.05; 38.64; 52.87; 46.19; 47.08
 30.05; 40.83; 40.05; 48.27; 44.90; 82.34; 92.43; 48.91; 51.32; 49.15; 60.05; 63.99; 83.72; 40.05; 52.99; 45.45; 46.48
 29.50; 42.72; 39.17; 47.14; 44.08; 82.95; 92.42; 47.64; 54.12; 48.54; 59.15; 63.62; 83.84; 39.05; 56.65; 44.78; 45.95
 29.44; 44.57; 37.88; 46.21; 43.39; 83.88; 92.42; 46.71; 56.56; 47.63; 57.89; 62.24; 81.46; 37.85; 59.88; 43.63; 45.27
 29.37; 43.81; 37.83; 47.64; 43.88; 83.81; 92.63; 45.99; 56.12; 47.91; 57.14; 64.37; 83.04; 37.61; 59.47; 43.54; 45.32
 30.06; 44.02; 37.01; 47.58; 44.74; 83.90; 93.10; 45.82; 56.28; 48.15; 57.07; 60.58; 84.20; 37.32; 59.75; 43.46; 45.46
 30.22; 43.56; 36.89; 47.30; 44.59; 83.85; 93.04; 45.38; 55.61; 48.29; 57.38; 61.19; 84.44; 37.33; 59.69; 44.92; 46.87
 29.66; 43.98; 36.52; 47.02; 44.40; 83.81; 92.55; 45.39; 55.59; 48.74; 57.77; 60.32; 84.24; 37.37; 59.75; 45.54; 47.56
 28.95; 44.77; 36.07; 46.55; 43.87; 84.06; 92.47; 44.70; 56.38; 48.09; 56.99; 61.61; 85.33; 36.62; 59.83; 45.05; 46.59
 29.43; 45.98; 35.40; 45.85; 43.52; 84.25; 92.99; 44.05; 56.79; 47.34; 56.27; 60.57; 85.29; 35.92; 60.78; 44.19; 45.86
 30.16; 45.29; 36.16; 46.68; 43.94; 84.42; 92.83; 43.77; 56.69; 47.92; 56.31; 60.87; 85.65; 35.78; 60.78; 44.25; 45.81
 30.42; 45.08; 35.39; 47.13; 45.04; 84.68; 93.00; 43.76; 56.84; 48.74; 56.48; 60.18; 85.34; 35.53; 60.59; 44.44; 45.94
 30.63; 44.72; 35.12; 47.17; 44.97; 84.85; 93.17; 43.53; 56.94; 48.65; 56.30; 60.51; 85.27; 35.48; 60.52; 45.50; 46.40
 30.83; 45.21; 34.76; 46.76; 44.91; 85.10; 93.02; 43.72; 57.17; 48.30; 57.00; 60.00; 85.31; 35.68; 60.63; 45.45; 46.71
 29.92; 43.98; 34.69; 46.69; 44.81; 85.76; 93.00; 43.36; 57.62; 48.10; 56.55; 60.43; 85.54; 35.53; 60.17; 45.16; 46.78
 29.51; 43.02; 34.70; 46.30; 44.36; 85.25; 93.08; 43.57; 58.18; 47.98; 56.21; 60.14; 85.56; 35.34; 60.68; 44.69; 45.95
 29.80; 42.45; 34.83; 45.94; 44.20; 85.30; 92.99; 43.30; 58.03; 47.61; 55.59; 61.36; 85.96; 34.98; 60.98; 44.56; 45.47
 30.21; 43.48; 34.17; 45.62; 43.92; 85.66; 92.99; 43.05; 58.35; 47.15; 55.20; 60.02; 85.37; 34.53; 61.53; 44.25; 45.10
 30.09; 43.29; 34.50; 46.18; 43.82; 85.75; 92.26; 43.45; 58.29; 47.25; 54.94; 61.60; 85.10; 34.62; 61.17; 44.21; 45.26
 30.12; 43.25; 35.37; 45.85; 43.26; 85.31; 92.43; 45.09; 58.10; 47.43; 54.83; 62.24; 85.76; 34.80; 60.91; 43.90; 44.95
 30.44; 43.28; 35.49; 46.15; 43.69; 85.40; 92.41; 44.88; 58.02; 47.63; 55.10; 62.48; 85.84; 34.72; 60.68; 43.93; 44.94
 30.46; 43.39; 35.30; 46.08; 44.61; 85.34; 92.46; 45.02; 57.88; 47.76; 55.39; 62.00; 85.92; 34.65; 60.70; 43.85; 44.78
